CLASS,SPECIES_FINAL,STRAIN,SOURCE_FINAL,AUTHOR_FINAL,NONSYNOM_REM,NONSYNOM_ALT,NONSYNOM_REC,SPECIES_TOGASHI,AUTHOR_TOGASHI,SOURCE_VERIFICATION,AUTHOR_VERIFICATION,SPECIES_TOGASHI_ALT,SPECIES_TOGASHI_NON,TITLE_INFO,TITLE_MATCH,SPECIES_CHANGED,AMBIGUOUS,SPORE,PROCESS,CARDINAL,TEMPERATURE,DETAILS,UNCERTAINTY,TEMPERATURE_REFERENCE,DISEASE,HOST_PLANT
fungi,alternaria brassicicola,,SF,(Schwein.) Wiltshire (1947),,,,alternaria circinans,(Berk. Et Curt.) Bolle,SF,(Berk. & M.A. Curtis) P.C. Bolle (1924),,,,,,,,growth in culture,max,40,,,"Bockmann, 1933",,
fungi,alternaria brassicicola,,SF,(Schwein.) Wiltshire (1947),,,,alternaria circinans,(Berk. Et Curt.) Bolle,SF,(Berk. & M.A. Curtis) P.C. Bolle (1924),,,,,,,,growth in culture,min,-2,note:  about,,"Bockmann, 1933",,
fungi,alternaria brassicicola,,SF,(Schwein.) Wiltshire (1947),,,,alternaria circinans,(Berk. Et Curt.) Bolle,SF,(Berk. & M.A. Curtis) P.C. Bolle (1924),,,,,,,,growth in culture,opt,26,,,"Bockmann, 1933",,
fungi,alternaria citri,,SF,Ellis & N. Pierce (1902),,,,alternaria citri,Pierce,SF,Ellis & N. Pierce (1902),,,,,,,,disease development,min,2.5,"note:  2-3 no external sign of infection (assume also refers to visible disease as ""external sign of infection"" - log as ""infection"" and ""disease development""). Assumed Tmin based on other temperatures provided.",>,"Doidge, 1929",brown rot,orange
fungi,alternaria citri,,SF,Ellis & N. Pierce (1902),,,,alternaria citri,Pierce,SF,Ellis & N. Pierce (1902),,,,,,,,disease development,opt,28.5,"note:  27-30, greatest percentage rot develops",,"Doidge, 1929",brown rot,orange
fungi,alternaria citri,,SF,Ellis & N. Pierce (1902),,,,alternaria citri,Pierce,SF,Ellis & N. Pierce (1902),,,,,,,,growth in culture,opt,25,note:  about,,"Doidge, 1929",,
fungi,alternaria citri,,SF,Ellis & N. Pierce (1902),,,,alternaria citri,Pierce,SF,Ellis & N. Pierce (1902),,,,,,,,infection,min,2.5,"note:  2-3 no external sign of infection (assume also refers to visible disease as ""external sign of infection"" - log as ""infection"" and ""disease development""). Assumed Tmin based on other temperatures provided.",>,"Doidge, 1929",brown rot,orange
fungi,alternaria citri,,SF,Ellis & N. Pierce (1902),,,,alternaria citri,Pierce,SF,Ellis & N. Pierce (1902),,,,,,,,infection,opt,28.5,"note:  27-30, greatest percentage rot develops",,"Doidge, 1929",brown rot,orange
fungi,alternaria cucumerina,,SF,(Ellis & Everh.) J.A. Elliott (1917),,,,macrosporium cucumerinum,Ell. Et Ev.,SF,Ellis & Everh. (1895),,,,,,,,growth in culture,max,45,note:  about,,"Brishley, 1923",,
fungi,alternaria cucumerina,,SF,(Ellis & Everh.) J.A. Elliott (1917),,,,macrosporium cucumerinum,Ell. Et Ev.,SF,Ellis & Everh. (1895),,,,,,,,growth in culture,min,3,note:  about,,"Brishley, 1923",,
fungi,alternaria cucumerina,,SF,(Ellis & Everh.) J.A. Elliott (1917),,,,macrosporium cucumerinum,Ell. Et Ev.,SF,Ellis & Everh. (1895),,,,,,,,growth in culture,opt,30,,,"Brishley, 1923",,
fungi,alternaria dauci,,SF,(J.G. Kühn) J.W. Groves & Skolko (1944),,,,macrosporium carotae,Ell. Et Langl.,SF,Ellis & Langl. (1890),,,,,,,,spore germination,opt,23.05,note:  22.2-23.9,,"Doran and Guba, 1928",,
fungi,alternaria gaisen,,SF,Nagano ex Hara (1928),,,,alternaria kikuchiana; alternaria gaisen,"Tanaka, Nagano",SF; SF,S. Tanaka (1933); Nagano ex Hara (1928),,alternaria bokurai (Miura),,,,Y,,disease development,max,36,,,"Hitomi, 1931",black spot,pear
fungi,alternaria gaisen,,SF,Nagano ex Hara (1928),,,,alternaria kikuchiana; alternaria gaisen,"Tanaka, Nagano",SF; SF,S. Tanaka (1933); Nagano ex Hara (1928),,alternaria bokurai (Miura),,,,Y,,disease development,min,10,note:  <10,<,"Hitomi, 1931",black spot,pear
fungi,alternaria gaisen,,SF,Nagano ex Hara (1928),,,,alternaria kikuchiana; alternaria gaisen,"Tanaka, Nagano",SF; SF,S. Tanaka (1933); Nagano ex Hara (1928),,alternaria bokurai (Miura),,,,Y,,disease development,opt,28,,,"Hitomi, 1931",black spot,pear
fungi,alternaria gaisen,,SF,Nagano ex Hara (1928),,,,alternaria kikuchiana; alternaria gaisen,"Tanaka, Nagano",SF; SF,S. Tanaka (1933); Nagano ex Hara (1928),,alternaria bokurai (Miura),,,,Y,,growth in culture,max,36,note:  >36,>,"Hitomi, 1931",,
fungi,alternaria gaisen,,SF,Nagano ex Hara (1928),,,,alternaria kikuchiana; alternaria gaisen,"Tanaka, Nagano",SF; SF,S. Tanaka (1933); Nagano ex Hara (1928),,alternaria bokurai (Miura),,,,Y,,growth in culture,max,40,note:  <40,<,"Ikata, Hitomi, and Ando, 1927",,
fungi,alternaria gaisen,,SF,Nagano ex Hara (1928),,,,alternaria kikuchiana; alternaria gaisen,"Tanaka, Nagano",SF; SF,S. Tanaka (1933); Nagano ex Hara (1928),,alternaria bokurai (Miura),,,,Y,,growth in culture,max,40,note:  about,,"Tanaka, 1932",,
fungi,alternaria gaisen,,SF,Nagano ex Hara (1928),,,,alternaria kikuchiana; alternaria gaisen,"Tanaka, Nagano",SF; SF,S. Tanaka (1933); Nagano ex Hara (1928),,alternaria bokurai (Miura),,,,Y,,growth in culture,max,40,note:  about,,"Tanaka, 1933",,
fungi,alternaria gaisen,,SF,Nagano ex Hara (1928),,,,alternaria kikuchiana; alternaria gaisen,"Tanaka, Nagano",SF; SF,S. Tanaka (1933); Nagano ex Hara (1928),,alternaria bokurai (Miura),,,,Y,,growth in culture,min,10,,,"Hitomi, 1931",,
fungi,alternaria gaisen,,SF,Nagano ex Hara (1928),,,,alternaria kikuchiana; alternaria gaisen,"Tanaka, Nagano",SF; SF,S. Tanaka (1933); Nagano ex Hara (1928),,alternaria bokurai (Miura),,,,Y,,growth in culture,min,10,,,"Ikata, Hitomi, and Ando, 1927",,
fungi,alternaria gaisen,,SF,Nagano ex Hara (1928),,,,alternaria kikuchiana; alternaria gaisen,"Tanaka, Nagano",SF; SF,S. Tanaka (1933); Nagano ex Hara (1928),,alternaria bokurai (Miura),,,,Y,,growth in culture,opt,27.25,note:  24.5-30,,"Hitomi, 1931",,
fungi,alternaria gaisen,,SF,Nagano ex Hara (1928),,,,alternaria kikuchiana; alternaria gaisen,"Tanaka, Nagano",SF; SF,S. Tanaka (1933); Nagano ex Hara (1928),,alternaria bokurai (Miura),,,,Y,,growth in culture,opt,22.5,note:  20-25,,"Ikata, Hitomi, and Ando, 1927",,
fungi,alternaria gaisen,,SF,Nagano ex Hara (1928),,,,alternaria kikuchiana; alternaria gaisen,"Tanaka, Nagano",SF; SF,S. Tanaka (1933); Nagano ex Hara (1928),,alternaria bokurai (Miura),,,,Y,,growth in culture,opt,28,note:  about,,"Tanaka, 1932",,
fungi,alternaria gaisen,,SF,Nagano ex Hara (1928),,,,alternaria kikuchiana; alternaria gaisen,"Tanaka, Nagano",SF; SF,S. Tanaka (1933); Nagano ex Hara (1928),,alternaria bokurai (Miura),,,,Y,,growth in culture,opt,28,note:  about,,"Tanaka, 1933",,
fungi,alternaria gaisen,,SF,Nagano ex Hara (1928),,,,alternaria kikuchiana; alternaria gaisen,"Tanaka, Nagano",SF; SF,S. Tanaka (1933); Nagano ex Hara (1928),,alternaria bokurai (Miura),,,,Y,,infection,max,36,,,"Hitomi, 1931",black spot,pear
fungi,alternaria gaisen,,SF,Nagano ex Hara (1928),,,,alternaria kikuchiana; alternaria gaisen,"Tanaka, Nagano",SF; SF,S. Tanaka (1933); Nagano ex Hara (1928),,alternaria bokurai (Miura),,,,Y,,infection,max,30,"note:  infection occurs in air showing higher than 20% relative humidity, when air temperature lies between 24 and 30. Assume Trange, however quite narrow",,"Tanaka, 1933",black spot,pear
fungi,alternaria gaisen,,SF,Nagano ex Hara (1928),,,,alternaria kikuchiana; alternaria gaisen,"Tanaka, Nagano",SF; SF,S. Tanaka (1933); Nagano ex Hara (1928),,alternaria bokurai (Miura),,,,Y,,infection,min,10,note:  <10,<,"Hitomi, 1931",black spot,pear
fungi,alternaria gaisen,,SF,Nagano ex Hara (1928),,,,alternaria kikuchiana; alternaria gaisen,"Tanaka, Nagano",SF; SF,S. Tanaka (1933); Nagano ex Hara (1928),,alternaria bokurai (Miura),,,,Y,,infection,min,24,"note:  infection occurs in air showing higher than 20% relative humidity, when air temperature lies between 24 and 30. Assume Trange, however quite narrow",,"Tanaka, 1933",black spot,pear
fungi,alternaria gaisen,,SF,Nagano ex Hara (1928),,,,alternaria kikuchiana; alternaria gaisen,"Tanaka, Nagano",SF; SF,S. Tanaka (1933); Nagano ex Hara (1928),,alternaria bokurai (Miura),,,,Y,,infection,opt,28,,,"Hitomi, 1931",black spot,pear
fungi,alternaria gaisen,,SF,Nagano ex Hara (1928),,,,alternaria kikuchiana; alternaria gaisen,"Tanaka, Nagano",SF; SF,S. Tanaka (1933); Nagano ex Hara (1928),,alternaria bokurai (Miura),,,,Y,,spore germination,max,40,,,"Ikata, Hitomi, and Ando, 1927",,
fungi,alternaria gaisen,,SF,Nagano ex Hara (1928),,,,alternaria kikuchiana; alternaria gaisen,"Tanaka, Nagano",SF; SF,S. Tanaka (1933); Nagano ex Hara (1928),,alternaria bokurai (Miura),,,,Y,,spore germination,opt,26.25,note:  25-27.5,,"Ikata, Hitomi, and Ando, 1927",,
fungi,alternaria grossulariae,,SF,Jacz. (1917),,,,alternaria grossulariae,Jacz.,SF,Jacz. (1917),,,,,,,,growth in culture,opt,27.5,note:  25-30,,"Brown, W, 1923",,
fungi,alternaria humicola var. gossypii,,MB - LEG,"Forsten., Phytopathologische Zeitschrift 3 (4): 397 (1931) [MB#267427]",,,,alternaria humicola var. gossypii,Forsteneichner,MB - LEG,"Forsten., Phytopathologische Zeitschrift 3 (4): 397 (1931) [MB#267427]",,,,,,Y - no current name,,growth in culture,max,37,note:  <37,<,"Forsteneichner, 1931",,
fungi,alternaria humicola var. gossypii,,MB - LEG,"Forsten., Phytopathologische Zeitschrift 3 (4): 397 (1931) [MB#267427]",,,,alternaria humicola var. gossypii,Forsteneichner,MB - LEG,"Forsten., Phytopathologische Zeitschrift 3 (4): 397 (1931) [MB#267427]",,,,,,Y - no current name,,growth in culture,min,1.5,note:  about,,"Forsteneichner, 1931",,
fungi,alternaria humicola var. gossypii,,MB - LEG,"Forsten., Phytopathologische Zeitschrift 3 (4): 397 (1931) [MB#267427]",,,,alternaria humicola var. gossypii,Forsteneichner,MB - LEG,"Forsten., Phytopathologische Zeitschrift 3 (4): 397 (1931) [MB#267427]",,,,,,Y - no current name,,growth in culture,opt,20,,,"Forsteneichner, 1931",,
fungi,alternaria longipes,,SF,(Ellis & Everh.) E.W. Mason (1928),,,,alternaria longipes,(Ell. Et Ev.) Tisdale et Wadkins,SF,(Ellis & Everh.) E.W. Mason (1928),,,,,,,,disease development,max,27,,,"Takimoto, 1934-d",brown spot,tobacco
fungi,alternaria longipes,,SF,(Ellis & Everh.) E.W. Mason (1928),,,,alternaria longipes,(Ell. Et Ev.) Tisdale et Wadkins,SF,(Ellis & Everh.) E.W. Mason (1928),,,,,,,,disease development,min,12,note:  about,,"Takimoto, 1934-d",brown spot,tobacco
fungi,alternaria longipes,,SF,(Ellis & Everh.) E.W. Mason (1928),,,,alternaria longipes,(Ell. Et Ev.) Tisdale et Wadkins,SF,(Ellis & Everh.) E.W. Mason (1928),,,,,,,,disease development,min,21,note:  about 20-22,,"Tisdale, W. B. and Wadkins, 1931",brown spot,tobacco
fungi,alternaria longipes,,SF,(Ellis & Everh.) E.W. Mason (1928),,,,alternaria longipes,(Ell. Et Ev.) Tisdale et Wadkins,SF,(Ellis & Everh.) E.W. Mason (1928),,,,,,,,disease development,opt,25,note:  about,,"Takimoto, 1934-d",brown spot,tobacco
fungi,alternaria longipes,,SF,(Ellis & Everh.) E.W. Mason (1928),,,,alternaria longipes,(Ell. Et Ev.) Tisdale et Wadkins,SF,(Ellis & Everh.) E.W. Mason (1928),,,,,,,,disease development,opt,26.5,note:  and above,>,"Tisdale, W. B. and Wadkins, 1931",brown spot,tobacco
fungi,alternaria longipes,,SF,(Ellis & Everh.) E.W. Mason (1928),,,,alternaria longipes,(Ell. Et Ev.) Tisdale et Wadkins,SF,(Ellis & Everh.) E.W. Mason (1928),,,,,,,,growth in culture,max,34.5,note:  about 34-35,,"Tisdale, W. B. and Wadkins, 1931",,
fungi,alternaria longipes,,SF,(Ellis & Everh.) E.W. Mason (1928),,,,alternaria longipes,(Ell. Et Ev.) Tisdale et Wadkins,SF,(Ellis & Everh.) E.W. Mason (1928),,,,,,,,growth in culture,opt,26.5,note:  25-28,,"Tisdale, W. B. and Wadkins, 1931",,
fungi,alternaria longipes,,SF,(Ellis & Everh.) E.W. Mason (1928),,,,alternaria longipes,(Ell. Et Ev.) Tisdale et Wadkins,SF,(Ellis & Everh.) E.W. Mason (1928),,,,,,,,infection,max,27,,,"Takimoto, 1934-d",brown spot,tobacco
fungi,alternaria longipes,,SF,(Ellis & Everh.) E.W. Mason (1928),,,,alternaria longipes,(Ell. Et Ev.) Tisdale et Wadkins,SF,(Ellis & Everh.) E.W. Mason (1928),,,,,,,,infection,min,12,note:  about,,"Takimoto, 1934-d",brown spot,tobacco
fungi,alternaria longipes,,SF,(Ellis & Everh.) E.W. Mason (1928),,,,alternaria longipes,(Ell. Et Ev.) Tisdale et Wadkins,SF,(Ellis & Everh.) E.W. Mason (1928),,,,,,,,infection,min,21,note:  about 20-22,,"Tisdale, W. B. and Wadkins, 1931",brown spot,tobacco
fungi,alternaria longipes,,SF,(Ellis & Everh.) E.W. Mason (1928),,,,alternaria longipes,(Ell. Et Ev.) Tisdale et Wadkins,SF,(Ellis & Everh.) E.W. Mason (1928),,,,,,,,infection,opt,25,note:  about,,"Takimoto, 1934-d",brown spot,tobacco
fungi,alternaria longipes,,SF,(Ellis & Everh.) E.W. Mason (1928),,,,alternaria longipes,(Ell. Et Ev.) Tisdale et Wadkins,SF,(Ellis & Everh.) E.W. Mason (1928),,,,,,,,infection,opt,26.5,note:  and above,>,"Tisdale, W. B. and Wadkins, 1931",brown spot,tobacco
fungi,alternaria nelumbii,,SF,Enlows & F.V. Rand (1921),,,,alternaria nelumbii,Enlows et Rand,SF,Enlows & F.V. Rand (1921),,,,,,,,growth in culture,min,2,,,"Enlows and Rand, 1921",,
fungi,alternaria nelumbii,,SF,Enlows & F.V. Rand (1921),,,,alternaria nelumbii,Enlows et Rand,SF,Enlows & F.V. Rand (1921),,,,,,,,sporulation,max,18,"note:  8 - 18, after 1 month growth covers surface of slants in this temperature range, with production of spores occuring in this range, assumed Trange, however may be <8 and >18",>,"Enlows and Rand, 1921",,
